areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2020-05-24,41
E40000003,London,nhsRegion,2020-05-23,43
E40000003,London,nhsRegion,2020-05-22,77
E40000003,London,nhsRegion,2020-05-21,76
E40000003,London,nhsRegion,2020-05-20,71
E40000003,London,nhsRegion,2020-05-19,89
E40000003,London,nhsRegion,2020-05-18,74
E40000003,London,nhsRegion,2020-05-17,51
E40000003,London,nhsRegion,2020-05-16,59
E40000003,London,nhsRegion,2020-05-15,77
E40000003,London,nhsRegion,2020-05-14,91
E40000003,London,nhsRegion,2020-05-13,91
E40000003,London,nhsRegion,2020-05-12,80
E40000003,London,nhsRegion,2020-05-11,91
E40000003,London,nhsRegion,2020-05-10,86
E40000003,London,nhsRegion,2020-05-09,85
E40000003,London,nhsRegion,2020-05-08,99
E40000003,London,nhsRegion,2020-05-07,202
E40000003,London,nhsRegion,2020-05-06,216
E40000003,London,nhsRegion,2020-05-05,178
E40000003,London,nhsRegion,2020-05-04,169
E40000003,London,nhsRegion,2020-05-03,157
E40000003,London,nhsRegion,2020-05-02,150
E40000003,London,nhsRegion,2020-05-01,201
E40000003,London,nhsRegion,2020-04-30,183
E40000003,London,nhsRegion,2020-04-29,212
E40000003,London,nhsRegion,2020-04-28,248
E40000003,London,nhsRegion,2020-04-27,261
E40000003,London,nhsRegion,2020-04-26,187
E40000003,London,nhsRegion,2020-04-25,137
E40000003,London,nhsRegion,2020-04-24,171
E40000003,London,nhsRegion,2020-04-23,266
E40000003,London,nhsRegion,2020-04-22,225
E40000003,London,nhsRegion,2020-04-21,288
E40000003,London,nhsRegion,2020-04-20,308
E40000003,London,nhsRegion,2020-04-19,290
E40000003,London,nhsRegion,2020-04-18,283
E40000003,London,nhsRegion,2020-04-17,358
E40000003,London,nhsRegion,2020-04-16,388
E40000003,London,nhsRegion,2020-04-15,412
E40000003,London,nhsRegion,2020-04-14,447
E40000003,London,nhsRegion,2020-04-13,416
E40000003,London,nhsRegion,2020-04-12,384
E40000003,London,nhsRegion,2020-04-11,490
E40000003,London,nhsRegion,2020-04-10,531
E40000003,London,nhsRegion,2020-04-09,554
