ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
EGY,"Egypt, Arab Rep.",2010,5.81,10340.07323,98423602,,,3.36
EGY,"Egypt, Arab Rep.",2012,5.53,10301.10781,98423602,,,3.36
EGY,"Egypt, Arab Rep.",2014,5.31,10353.6668,98423602,,,3.36
EGY,"Egypt, Arab Rep.",2016,4.39,10795.80874,98423602,,,3.36
EGY,"Egypt, Arab Rep.",2018,4.67,11366.34,98423602,5.314121037,7.156283564,3.36
SLV,El Salvador,2008,7.46,7392.85,6420740,,,5.96
SLV,El Salvador,2010,7.19,7328.71991,6420740,,,5.96
SLV,El Salvador,2012,7.12,7754.687992,6420740,,,5.96
SLV,El Salvador,2014,7.26,7990.459574,6420740,,,5.96
SLV,El Salvador,2016,7.15,8309.441799,6420740,,,5.96
SLV,El Salvador,2018,7.03,8614.02,6420740,2.412371287,2.570846686,5.96
EST,Estonia,2008,8.46,29616.69,1321977,,,7.97
EST,Estonia,2010,8.45,26133.38181,1321977,,,7.97
EST,Estonia,2012,8.23,29139.52702,1321977,,,7.97
EST,Estonia,2014,8.3,30602.59549,1321977,,,7.97
EST,Estonia,2016,8.54,32130.30088,1321977,,,7.97
EST,Estonia,2018,8.54,35208.02,1321977,4.133819798,-5.132000958,7.97
SWZ,Eswatini,2008,,7176.21,1136274,,,3.03
SWZ,Eswatini,2010,5.74,7459.227976,1136274,,,3.03
SWZ,Eswatini,2012,5.5,7930.468678,1136274,,,3.03
SWZ,Eswatini,2014,5.94,8192.527953,1136274,,,3.03
SWZ,Eswatini,2016,5.96,8321.031914,1136274,,,3.03
SWZ,Eswatini,2018,6.02,8520.59,1136274,2.371609694,0.821663914,3.03
ETH,Ethiopia,2008,5.36,1086.7,109224410,,,3.35
ETH,Ethiopia,2010,5.4,1259.022581,109224410,,,3.35
ETH,Ethiopia,2012,5.22,1437.376607,109224410,,,3.35
ETH,Ethiopia,2014,5.53,1656.634489,109224410,,,3.35
ETH,Ethiopia,2016,5.33,1894.897364,109224410,,,3.35
ETH,Ethiopia,2018,5.4,2103.52,109224410,6.816147797,10.78852169,3.35
FJI,Fiji,2008,7.27,10566.93,883490,,,5.85
FJI,Fiji,2010,7.34,10547.9304,883490,,,5.85
FJI,Fiji,2012,7.15,10919.49717,883490,,,5.85
FJI,Fiji,2014,7.17,12057.98713,883490,,,5.85
FJI,Fiji,2016,7.13,12820.7246,883490,,,5.85
FJI,Fiji,2018,6.98,13846.16,883490,3.812637219,1.03279422,5.85
FIN,Finland,2008,8.63,48817.99,5515525,,,9.14
FIN,Finland,2010,8.64,45874.6613,5515525,,,9.14
FIN,Finland,2012,8.58,45952.24638,5515525,,,9.14
FIN,Finland,2014,8.55,44976.77645,5515525,,,9.14
FIN,Finland,2016,8.46,46206.78781,5515525,,,9.14
FIN,Finland,2018,8.49,48130.29,5515525,1.141947509,0.783995061,9.14
FRA,France,2008,8.27,42996.21,67101930,,,7.8
FRA,France,2010,8.13,42147.67168,67101930,,,7.8
FRA,France,2012,7.97,42790.63288,67101930,,,7.8
FRA,France,2014,8.05,43021.39464,67101930,,,7.8
FRA,France,2016,8.11,43705.14756,67101930,,,7.8
FRA,France,2018,8.05,45251.91,67101930,1.865066071,0.25494596,7.8
GAB,Gabon,2008,5.88,14378.49,2119275,,,3.61
GAB,Gabon,2010,5.92,14415.44591,2119275,,,3.61
GAB,Gabon,2012,5.89,15082.65656,2119275,,,3.61
GAB,Gabon,2014,5.85,15437.26503,2119275,,,3.61
GAB,Gabon,2016,5.84,15359.7404,2119275,,,3.61
GAB,Gabon,2018,6.14,14744.43,2119275,0.842950946,-3.308430649,3.61
GMB,"Gambia, The",2008,N,2205.11,2280092,,,4.31
GMB,"Gambia, The",2010,6.15,2346.720479,2280092,,,4.31
GMB,"Gambia, The",2012,6.29,2135.744238,2280092,,,4.31
GMB,"Gambia, The",2014,6.2,2038.802518,2280092,,,4.31
GMB,"Gambia, The",2016,6.06,2036.877159,2280092,,,4.31
GMB,"Gambia, The",2018,6.27,2158.08,2280092,7.234890333,6.255905534,4.31
GEO,Georgia,2008,7.6,9358.61,3726549,,,5.5
GEO,Georgia,2010,7.73,9736.732094,3726549,,,5.5
GEO,Georgia,2012,7.53,11295.75409,3726549,,,5.5
GEO,Georgia,2014,7.82,12254.64565,3726549,,,5.5
GEO,Georgia,2016,7.8,12963.74396,3726549,,,5.5
GEO,Georgia,2018,7.87,14253.41,3726549,4.842919885,2.418571659,5.5
DEU,Germany,2008,8.39,47573.03,82905782,,,8.68
DEU,Germany,2010,8.34,46929.99341,82905782,,,8.68
DEU,Germany,2012,8.44,49798.96767,82905782,,,8.68
DEU,Germany,2014,8.49,50770.61349,82905782,,,8.68
DEU,Germany,2016,8.55,51803.23542,82905782,,,8.68
DEU,Germany,2018,8.52,53463.4,82905782,1.086024514,0.959879134,8.68
GHA,Ghana,2008,7.42,3466.81,29767108,,,6.63
GHA,Ghana,2010,6.99,3729.475903,29767108,,,6.63
GHA,Ghana,2012,6.84,4431.023735,29767108,,,6.63
GHA,Ghana,2014,7.25,4670.244898,29767108,,,6.63
GHA,Ghana,2016,7.24,4712.514355,29767108,,,6.63
GHA,Ghana,2018,7.04,5177.88,29767108,6.200077672,9.149798975,6.63
GRC,Greece,2008,7.79,37461.54,10732882,,,7.29
GRC,Greece,2010,7.71,33753.61775,10732882,,,7.29
GRC,Greece,2012,7.57,28374.67695,10732882,,,7.29
GRC,Greece,2014,7.47,28178.69021,10732882,,,7.29
GRC,Greece,2016,7.3,28226.90728,10732882,,,7.29
GRC,Greece,2018,7.38,29150.69,10732882,1.558977652,-0.33517238,7.29
GTM,Guatemala,2008,7.35,7365.28,16346950,,,5.6
GTM,Guatemala,2010,7.2,7335.988974,16346950,,,5.6
GTM,Guatemala,2012,6.53,7590.755467,16346950,,,5.6
GTM,Guatemala,2014,7.01,7939.374378,16346950,,,5.6
GTM,Guatemala,2016,7.23,8206.047987,16346950,,,5.6
GTM,Guatemala,2018,7.21,8462.17,16346950,3.322097997,3.293524,5.6
GIN,Guinea,2008,N,1889.19,12414292,,,3.14
GIN,Guinea,2014,5.22,2061.694917,12414292,,,3.14
GIN,Guinea,2016,5.56,2253.477683,12414292,,,3.14
GIN,Guinea,2018,5.45,2499.71,12414292,6.358491927,4.133009273,3.14
GNB,Guinea-Bissau,2008,5.83,1700.29,1874304,,,1.98
GNB,Guinea-Bissau,2010,5.81,1747.237485,1874304,,,1.98
GNB,Guinea-Bissau,2012,5.88,1760.883995,1874304,,,1.98
GNB,Guinea-Bissau,2014,6.36,1740.896737,1874304,,,1.98
GNB,Guinea-Bissau,2016,5.91,1864.263035,1874304,,,1.98
GNB,Guinea-Bissau,2018,6.15,1901.93,1874304,1.283736703,3.203567307,1.98
GUY,Guyana,2008,6.72,9112.21,779007,,,6.67
GUY,Guyana,2010,6.59,9789.0167,779007,,,6.67
GUY,Guyana,2012,7.04,10780.96439,779007,,,6.67
GUY,Guyana,2014,6.13,11244.44524,779007,,,6.67
GUY,Guyana,2016,6.87,11631.0432,779007,,,6.67
